Title;Lat.;Long.
Liceo Scientifico Statale Galileo Galilei;45.4126749;11.813863
Liceo Ginnasio Statale G.B. Vico;40.8540945;14.2473604
I.T.S. Commerciale e per Geometri Michelangelo Buonarroti;41.8086376;12.6847244
"Istituto d'istruzione superiore ""Galilei - Campailla""";36.8499;14.76976
Istituto Comprensivo Statale;39.960874;18.3105843
"Istituto Comprensivo ""S.Canevari""";42.4134156;12.1165032
I. C.  CADUTI DI CEFALONIA - MAZZINI;45.0462899;7.637997
Direzione Didattica Statale;45.0205043;7.6447074
Liceo scientifico Galileo Ferraris;45.07049;7.68682
"IC ""Marconi Antonelli""";45.0759429;7.7247484
Liceo Classico Statale Massimo D'Azeglio ;45.1205512;7.6330847
ISTITUTO COMPRENSIVO DELLA VAL NURE  ;44.86762;9.64433
"Liceo Classico e Scientifico Statale ""S. Pellico - G. Peano"" - Cuneo";44.39733;7.54453
Liceo Scientifico e Linguistico Statale “G. Marconi” - Milano;45.4506133;9.1271404
DANTE ALIGHIERI GIOSUÈ CARDUCCI  Scuola statale secondaria di I grado - Piacenza;45.04202;9.70462
I.C.S. TRICASE VIA APULIA;39.93042;18.355332
Istituto Comprensivo di Viguzzolo;44.90567;8.91968
"ISTITUTO D'ISTRUZIONE Secondaria SUPERIORE ""TOMMASO FIORE"" -  Modugno ";41.09454;16.7959
IS TRAMELLO CASSINARI;44.7513422;9.6020151
Liceo Scientifico Statale Michelangelo;39.2303252;9.1237424
"Liceo Scientifico e linguistico ""O.Tedone""";41.11658;16.48974
"ICS ""G. Falcone - P. Borsellino"" Cassabile";36.972574;15.202055
Istituto Comprensivo - Baccio di Montelupo;43.7321385;11.0200481
"1 Istituto superiore ""Archimede""";36.822297;14.9452434
"Istituto Comprensivo "" Mario Rapisardi""";37.35842;13.84786
IIS Leonardo Da Vinci;44.9141268;8.613031
Liceo M. Fanti;44.78237;10.8777
Istituto comprensivo Santo Stefano Magra;44.1638637;9.9150648
Istituto Comprensivo n.1;44.2218674;12.0383187
ISTITUTO TECNICO COMMERCIALE - VITTORIO VENETO - SALVEMINI;41.46614;12.9043
"Liceo Scientifico ""A. Genoino""";40.7005531;14.7000248
Istituto Comprensivo Viale San Marco ;45.4779592;12.2663412
Istituto Comprensivo di Castelnuovo Don Bosco;45.042516;7.9631647
IC Santa Margherita Ligure;41.99998;43.4999
"ISTITUTO COMPRENSIVO ""G. FALCONE - P. BORSELLINO"" DI CAULONIA ";38.342895;16.4623536
Istituto Istruzione Superiore Enzo Ferrari ;44.485875;-67.883662
IIS - TOMMASO FAZELLO;37.5157753;13.079868
I.I.S. LA FARINA BASILE;38.1949876;15.5537306
Istituto Comprensivo Caio Giulio Cesare ;45.4819979;12.2352757
